Unnamed: 0,size,calories_kcal,fats_g,sod_mg,carb_g,fiber_g,sugar_g,protein_g,vitA_g,calcium_mg,thiamin_mg,zinc_mg,potassium_mg,magnesium_mg,vitE_mg,vitK_mcg,vitC_mg,vitB6_mg,copper_mg,carotene_mg,carotene_mcg,cryptoxanthin_mcg,lycopene_mcg,cholesterol_mg,quality
128,1,14,0,97,1,0,0,1,467,2,0,0,40,3,0,0,0,0,0,231,98,0,730,3,3
129,4,108,7,25,7,2,2,2,5012,21,0,0,143,16,0,13,0,0,0,2446,1122,0,0,13,1
130,2,47,1,21,3,2,1,4,514,46,0,0,190,13,0,69,21,0,0,303,6,0,0,6,2
131,4,47,1,21,3,2,1,4,514,46,0,0,190,13,0,69,21,0,0,303,6,0,0,6,2
132,4,47,1,21,3,2,1,4,514,46,0,0,190,13,0,69,21,0,0,303,6,0,0,6,2
133,1,11,0,5,0,0,0,1,128,11,0,0,47,3,0,17,5,0,0,76,1,0,0,1,3
134,6,112,2,316,15,1,1,6,3315,18,0,0,161,17,0,5,2,0,0,1618,732,0,0,47,2
135,2,112,2,316,15,1,1,6,3315,18,0,0,161,17,0,5,2,0,0,1618,732,0,0,47,2
136,1,10,0,29,1,0,0,0,312,1,0,0,15,1,0,0,0,0,0,152,68,0,0,4,3
137,4,57,1,16,10,1,0,1,1322,20,0,0,67,9,0,2,1,0,0,645,293,0,0,11,3
138,2,57,1,16,10,1,0,1,1322,20,0,0,67,9,0,2,1,0,0,645,293,0,0,11,3
139,4,57,1,16,10,1,0,1,1322,20,0,0,67,9,0,2,1,0,0,645,293,0,0,11,3
140,1,8,0,2,1,0,0,0,187,2,0,0,9,1,0,0,0,0,0,91,41,0,0,1,3
141,2,93,2,132,14,1,1,4,2939,35,0,0,66,11,0,2,0,0,0,1428,666,0,0,15,2
142,6,93,2,132,14,1,1,4,2939,35,0,0,66,11,0,2,0,0,0,1428,666,0,0,15,2
143,6,93,2,132,14,1,1,4,2939,35,0,0,66,11,0,2,0,0,0,1428,666,0,0,15,2
144,6,93,2,132,14,1,1,4,2939,35,0,0,66,11,0,2,0,0,0,1428,666,0,0,15,2
145,1,15,0,22,2,0,0,0,490,5,0,0,11,1,0,0,0,0,0,238,111,0,0,2,3
146,1,8,0,12,1,0,0,0,276,3,0,0,6,1,0,0,0,0,0,134,62,0,0,1,3
147,2,74,2,25,10,2,2,3,2465,30,0,0,157,15,0,2,0,0,0,1197,559,0,0,18,1
148,4,74,2,25,10,2,2,3,2465,30,0,0,157,15,0,2,0,0,0,1197,559,0,0,18,1
149,4,74,2,25,10,2,2,3,2465,30,0,0,157,15,0,2,0,0,0,1197,559,0,0,18,1
150,4,74,2,25,10,2,2,3,2465,30,0,0,157,15,0,2,0,0,0,1197,559,0,0,18,1
151,1,18,0,6,2,0,0,0,618,7,0,0,39,3,0,0,0,0,0,300,140,0,0,4,3
152,1,10,0,3,1,0,0,0,349,4,0,0,22,2,0,0,0,0,0,169,79,0,0,2,3
